0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:28:00 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:32:30 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [16/May/2021:23:32:30 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:32:30 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:32:30 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:32:30 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/May/2021:23:33:22 +0900] "POST /TestWeb/user/join_ok.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:47 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:47 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:47 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:47 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:47 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:49 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:49 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:49 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:49 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:34:49 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:35:27 +0900] "POST /TestWeb/user/join_ok.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [16/May/2021:23:35:52 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:35:53 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:35:53 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:35:53 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:35:53 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:36:31 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [16/May/2021:23:36:37 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:36:37 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:36:37 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:36:37 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:36:37 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:37:01 +0900] "GET /TestWeb/user/update.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [16/May/2021:23:37:04 +0900] "GET /TestWeb/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:37:04 +0900] "GET /TestWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:37:04 +0900] "GET /TestWeb/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/May/2021:23:38:58 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:38:58 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:38:58 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:38:58 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:38:58 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:06 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:06 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:06 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:06 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:06 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:06 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:07 +0900] "GET /TestWeb/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:07 +0900] "GET /TestWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:39:07 +0900] "GET /TestWeb/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/May/2021:23:42:05 +0900] "GET /TestWeb/user/logout.jsp HTTP/1.1" 302 -
