127.0.0.1 - - [21/May/2021:14:41:14 +0900] "GET / HTTP/1.1" 200 11355
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:14 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:14 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:14 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:14 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:14 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:19 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:19 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:19 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:19 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:19 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:21 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:21 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:21 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:21 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2021:14:41:21 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/May/2021:14:42:01 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [21/May/2021:14:42:01 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2021:14:42:02 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
